"filename", "language", "JSON", "Markdown", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript React", "CSS", "XML", "HTML", "Log", "Prisma", "comment", "blank", "total"
"d:\Coding\Projects\bettercharts\apps\web\yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10340, 0, 0, 1558, 11898
"d:\Coding\Projects\bettercharts\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 24
"d:\Coding\Projects\bettercharts\packages\config\eslint-preset.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Coding\Projects\bettercharts\packages\config\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Coding\Projects\bettercharts\packages\tsconfig\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Coding\Projects\bettercharts\packages\tsconfig\base.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Coding\Projects\bettercharts\packages\tsconfig\nextjs.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Coding\Projects\bettercharts\packages\tsconfig\package.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Coding\Projects\bettercharts\packages\tsconfig\react-library.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Coding\Projects\bettercharts\turbo.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 15
"Total", "-", 317, 59, 101282, 59, 1807, 4735, 497, 56, 46, 20641, 24, 24174, 25953, 179650
